(0,1,638.0675969927124)
(0,3,1400.881419228444)
(0,5,170.33568723580242)
(0,10,387.88373015873026)
(0,14,189.0)
(0,16,155.81085475833834)
(0,19,81.31666666666673)
(0,20,129.72368643069495)
(0,24,100.27857142857144)
(0,28,90.1)
(0,29,51.05595238095239)
(0,31,53.51757032457873)
(0,33,152.83333333333331)
(0,36,177.28072254542838)
(0,38,79.68333333333332)
(0,44,22.941666666666666)
(0,59,189.0)
(0,109,189.0)
(0,118,119.58333333333326)
(0,125,561.0)
(0,208,98.10000000000001)
(0,220,189.0)
(0,241,106.845238095238)
(1,4,390.68820068820094)
(1,5,105.21626984126983)
(1,10,2216.617471301409)
(1,16,81.85400432900433)
(1,19,52.1166666666667)
(1,20,34.75515873015877)
(1,21,278.0)
(1,22,40.70086580086581)
(1,24,529.747269281208)
(1,25,110.4593253968254)
(1,27,72.51785714285714)
(1,28,62.949999999999996)
(1,29,41.95357142857144)
(1,31,31.554761904761907)
(1,33,407.32015854153946)
(1,34,65.88401287727663)
(1,44,330.5718363807751)
(1,62,120.98095238095246)
(1,65,40.745238095238136)
(1,66,186.5)
(1,68,42.840476190476195)
(1,73,57.35264297106406)
(1,82,110.4593253968254)
(1,83,189.0)
(1,105,69.58401287727656)
(1,146,186.5)
(1,149,280.0)
(1,241,82.15476190476187)
(1,253,189.0)
(1,254,81.95027870680039)
(1,257,94.76190476190476)
(1,275,148.2142857142857)
(1,330,189.0)
(1,372,189.0)
(1,382,189.0)
(1,446,189.0)
(1,463,96.42857142857144)
(1,473,189.0)
(1,525,189.0)
(1,605,189.0)
(1,644,110.95932539682536)
(1,656,189.0)
(1,660,92.54338118022335)
(1,672,71.6725607725607)
(1,688,189.0)
(1,706,189.0)
(1,774,110.4593253968254)
(1,1121,189.0)
(1,1150,189.0)
(1,1325,189.0)
(1,1389,189.0)
(1,1667,189.0)
(2,6,4.0)
(2,216,3.0)
(3,10,743.2490653250375)
(3,12,467.1333333333332)
(3,18,340.0)
(3,24,1308.11452136023)
(3,26,344.4666666666667)
(3,30,3669.5126984127)
(3,36,215.63333333333333)
(3,38,109.31666666666666)
(3,41,582.0982794982797)
(3,42,151.9745698745699)
(3,44,377.4968363807751)
(3,45,376.0)
(3,50,1070.3719891219891)
(3,52,168.08594412123824)
(3,103,189.0)
(3,108,189.0)
(3,114,612.6982794982796)
(3,175,179.16666666666669)
(3,194,379.10399248766794)
(3,217,185.66666666666663)
(3,228,363.16666666666674)
(3,284,154.6745698745699)
(3,322,189.0)
(3,386,189.0)
(3,485,265.08818607186146)
(3,739,189.0)
(3,1030,189.0)
(4,16,245.8079143079142)
(4,20,99.34104784104787)
(4,22,125.13908868908871)
(4,65,55.25477300477299)
(4,69,372.0)
(4,87,186.0)
(4,105,9.922222222222222)
(4,460,186.0)
(5,10,608.6224663064046)
(5,16,21.382178932178928)
(5,19,27.95000000000001)
(5,20,20.70357142857142)
(5,22,22.256421356421356)
(5,24,157.18797857191726)
(5,25,78.54067460317461)
(5,27,20.19047619047619)
(5,28,35.95000000000001)
(5,29,18.453571428571426)
(5,31,9.054761904761904)
(5,33,130.3082079920891)
(5,34,38.65383561199507)
(5,62,70.22698412698415)
(5,65,22.300793650793636)
(5,68,18.090476190476192)
(5,73,32.513755980861234)
(5,82,78.5406746031746)
(5,105,48.742724500883924)
(5,118,69.41666666666663)
(5,184,189.0)
(5,208,45.44999999999999)
(5,213,189.0)
(5,254,54.02486064659972)
(5,257,67.49999999999999)
(5,265,31.30476190476191)
(5,660,60.860845295055775)
(5,672,44.78784548784548)
(5,774,78.5406746031746)
(6,35,3.0)
(7,33,189.0)
(8,119,3.0)
(10,16,554.4504476817547)
(10,22,247.53829313960887)
(10,27,326.5918709809226)
(10,30,3986.487301587299)
(10,31,170.35557219199242)
(10,68,103.91666666666666)
(10,265,111.87023809523811)
(10,355,189.0)
(12,33,644.5901335727831)
(12,41,124.6017205017205)
(12,42,39.02543012543013)
(12,50,203.17801087801092)
(12,71,189.0)
(12,74,243.0)
(12,78,132.01666666666668)
(12,114,131.30172050172052)
(12,194,99.14115477380412)
